status	bibkey	filename	sha256	origin_or_note
archived	Thuswaldner2006	2006_Thuswaldner_Unimodular-Pisot-substitutions-associated-tiles.pdf	24fa782eeeb7adcb7e19b0ee44a6ff326b1d555cf6719c7c021501e3c9414f90	downloaded 2026-08-01 from Numdam DOI full text
archived	HoriikeFujishiro2025	arXiv_2501.10257_HoriikeFujishiro_Orthogonal-projections-hypercubes.pdf	61821033912a8dd2c7115a9bdbdd186502bf48b009388a1b1afed85977a7c961	downloaded 2026-08-01 from arXiv:2501.10257
metadata-only	Williams2026OpenAIUnitDistance	-	-	news article; local preservation and redistribution status not yet assessed
archived	ArnouxIto2001	2001_ArnouxIto_Pisot-substitutions-Rauzy-fractals.pdf	29b7908c387639610fe242de9521fbba5ab711cdc6c654555f3089950e03cfa6	downloaded 2026-08-01 from archived author-hosted copy
archived	MinervinoThuswaldner2014	2014_MinervinoThuswaldner_Geometry-non-unit-Pisot-substitutions.pdf	e2ed55861e99aff5d3a209a38b32d30950afdf4973f2f7580f5a9155d484148c	downloaded 2026-08-01 from Numdam DOI full text
archived	MauldinWilliams1988	1988_MauldinWilliams_Hausdorff-dimension-graph-directed-constructions.pdf	f37b28a0fb319d9d51440de94cd50be1af134bec41833ff6256bec52ecd9ff56	downloaded 2026-08-01 from first author's institutional page
archived	Barge2018	arXiv_1505.04408_Barge_Pisot-conjecture-beta-substitutions.pdf	4edde4708c136439f11b0ffe2747ce9c758246790fd47564ee6fe97536d1b0b8	downloaded 2026-08-01 from arXiv:1505.04408
archived	Grimm2015	arXiv_1506.05276_Grimm_Aperiodic-crystals-and-beyond.pdf	58b9f2e73060cd099d38ce82e2d8996b6cce629e8aa0324e5718b5796e7c013d	downloaded 2026-08-01 from arXiv:1506.05276
archived	TsessesEtAl2025	2025_TsessesEtAl_Four-dimensional-conserved-topological-charge-vectors.pdf	9341e189c6714685fbf725b88226a4227c87c031fde7458740982493fbf98714	downloaded 2026-08-01 from University of Stuttgart author-group site
archived	Sellami2010	2010_Sellami_Geometry-common-dynamics-Pisot-substitutions.pdf	d8d4268342f4f3207b98839cfa629fcdb147d9b0be3b8c2393c64ae79ed3f3df	downloaded 2026-08-01 from Numdam DOI full text
archived	ArnouxMizutaniSellami2014	arXiv_1301.7316_ArnouxMizutaniSellami_Random-product-substitutions.pdf	146ae94515cc170ee50baf41bdba9fd6c304ff2677f62fbdcf37da2373c04729	downloaded 2026-08-01 from arXiv:1301.7316
archived	ScheicherSirventSurer2016	2016_ScheicherSirventSurer_Symmetric-congruent-Rauzy-fractals.pdf	20cf80a2c9fd0d10b568ce4c75a4a4bede3fac8bc8ee5076078cacb539b0d32e	downloaded by AM 2026-08-01 from ScienceDirect and handed into the local archive
archived	BaakeLenz2005	arXiv_math_0404155_BaakeLenz_Deformation-Delone-dynamical-systems.pdf	af80016e485be663a1d54a4b96d322b7706441e162354e06f41803c7d8949321	downloaded 2026-08-01 from arXiv:math/0404155
archived	GohlkeMitchellRustSamuel2026	arXiv_2401.06732_GohlkeEtAl_Rauzy-fractals-random-substitutions.pdf	83138306901d51f37ba494f263f592134c530e8efd04b6e3dcc4ac9395c9901e	downloaded 2026-08-01 from arXiv:2401.06732
archived	EberlSturmSequences2014	2014_Eberl_Sturm-sequences-formalisation-outline.pdf	275f5efcbb736ddbcce321c4b0187838a9a840e1756d751af2f0e41a88a07189	downloaded 2026-08-07 from https://isa-afp.org/browser_info/current/AFP/Sturm_Sequences/outline.pdf
archived	EberlSturmSequences2014	2014_Eberl_Sturm-sequences-formalisation-outline.txt	e9de50f5ccd2c135480b098e5ae38d4573237533c626aef58275fe4aa4c713cd	pdftotext extraction of the above, 2026-08-07
archived	EberlSturmSequences2014	2014_Eberl_Sturm-sequences-formalisation-document.pdf	933e23922d42a0cea4febd0d4a863792fe4eb1c0f8e41fabe992f77ce3074605	downloaded 2026-08-07 from https://isa-afp.org/browser_info/current/AFP/Sturm_Sequences/document.pdf
archived	EberlSturmSequences2014	2014_Eberl_Sturm-sequences-formalisation-document.txt	ac9b90fc499f4cbb1949ad7f1a25d4508f67d1a57765e0f3ffd7e9f85dbc382c	pdftotext extraction of the above, 2026-08-07
archived	LiPaulson2018BudanFourier	2018_LiPaulson_Counting-polynomial-roots-Budan-Fourier.pdf	f12c711965400ac353a44857a3bc0b665de924f221ec5f9d6e0b9e72e1e19b3b	downloaded 2026-08-07 from https://arxiv.org/pdf/1811.11093
archived	LiPaulson2018BudanFourier	2018_LiPaulson_Counting-polynomial-roots-Budan-Fourier.txt	536a0c0b189c5e2450a428da1f66e941322bf0eee9b60a868b851fedb23213c1	pdftotext extraction of the above, 2026-08-07
archived	SmithMyersKaplanGoodmanStrauss2023Hat	smith_myers_kaplan_goodmanstrauss_2023_hat_2303.10798.pdf	ee1505e15db590730bd424c4954837bab7488e5312a88c6ececd50dd2cf81f29	downloaded 2026-08-07 from https://arxiv.org/pdf/2303.10798
archived	SmithMyersKaplanGoodmanStrauss2023Hat	smith_myers_kaplan_goodmanstrauss_2023_hat_2303.10798.txt	ae883eaf4839f93ebca9956773e4489366e525ac7950dcb33b296fb2925e107e	pdftotext extraction of the above, 2026-08-07
archived	SmithMyersKaplanGoodmanStrauss2023Spectre	smith_myers_kaplan_goodmanstrauss_2023_spectre_2305.17743.pdf	1a1c2123c63f7fe25efb0107ef5a3d1a8ad9d32b1e67a7d597b4723456c01be0	downloaded 2026-08-07 from https://arxiv.org/pdf/2305.17743
archived	SmithMyersKaplanGoodmanStrauss2023Spectre	smith_myers_kaplan_goodmanstrauss_2023_spectre_2305.17743.txt	831adc539b65393880807186090cdb00d63bccba15ebac14cccfd8b5ddd2a2af	pdftotext extraction of the above, 2026-08-07
archived	Akiyama2000CubicPisotFiniteBeta	2002_Akiyama_Cubic-Pisot-units-finite-beta-expansions.pdf	b7f30739fad6d50f71f0305ca092fdc6e6ef038cd7d7b44ed6291b78c5193135	downloaded 2026-08-10 from author-hosted copy https://math.tsukuba.ac.jp/~akiyama/papers/CubicP.pdf (certificate mismatch on host; source cross-checked against public full text)
archived	Akiyama2000CubicPisotFiniteBeta	2002_Akiyama_Cubic-Pisot-units-finite-beta-expansions.txt	07c6fac92f7b451d1d017fa3a113f073c097f6930c2a5f2eb3c46e800712b152	pdftotext extraction of the above, 2026-08-10
